web-scraper-order,web-scraper-start-url,paginator,bill_id,link_to_bill-href,bill_name,committees,summary
1684270657-11,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8578,https://www.congress.gov/bill/116th-congress/house-bill/8578?s=9&r=490,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill prohibits the use of federal funds to close or realign Marine Corps Recruit Depot, Parris Island, South Carolina, or to conduct any planning or other activity related to such closure or realignment."
1684270662-12,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8579,https://www.congress.gov/bill/116th-congress/house-bill/8579?s=9&r=489,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill addresses provisions related to advanced transportation technologies.
1684270667-13,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8580,https://www.congress.gov/bill/116th-congress/house-bill/8580?s=9&r=488,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill designates a specified segment of the Little Manatee River in Florida as a component of the National Wild and Scenic Rivers System.
1684270672-14,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8581,https://www.congress.gov/bill/116th-congress/house-bill/8581?s=9&r=487,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill directs the Government Accountability Office (GAO) to study issues related to health insurance and other coverage for assistive technologies, such as prosthetic devices and custom orthoses, for those who experience amputations or live with a limb difference."
1684270681-15,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8582,https://www.congress.gov/bill/116th-congress/house-bill/8582?s=9&r=486,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill establishes the Greenhouse Gas Pollution Reduction Program, which creates (1) enforceable targets to reduce greenhouse gas emissions from cogeneration facilities, electric facilities, and thermal facilities; (2) a system to allow such facilities to achieve the targets through a voluntary emission trading program; and (3) a thermal energy reporting program."
1684270689-16,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8583,https://www.congress.gov/bill/116th-congress/house-bill/8583?s=9&r=485,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill expands the notification requirement for plant closures and mass layoffs under the Worker Adjustment and Retraining Notification Act to include notices to Members of Congress.
1684270694-17,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8584,https://www.congress.gov/bill/116th-congress/house-bill/8584?s=9&r=484,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill allows the adjusted basis of certain assets, including C corporation common stock and tangible property used in a trade or business, to be adjusted for inflation solely for the purpose of determining the gain or loss of individuals who (1) have held such assets for more than 3 years, and (2) have attained the age of 59 1/2 as of the date of the sale or other disposition of the assets. The bill uses the Chained Consumer Price Index for All Urban Consumers (C-CPI-U) for purposes of making the inflation adjustment."
1684270699-18,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8585,https://www.congress.gov/bill/116th-congress/house-bill/8585?s=9&r=483,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill requires the cancellation of removal and adjustment of status for an alien parent who meets certain requirements.
1684270704-19,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8586,https://www.congress.gov/bill/116th-congress/house-bill/8586?s=9&r=482,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill allows state Medicaid programs to cover residential addiction treatment facility services for adults between the ages of 22 and 64 if such services are offered as part of a full continuum of evidence-based treatment services. Residential addiction treatment facility services are medically necessary inpatient services provided in an accredited, size-limited facility for the purpose of treating a substance-use disorder within a specified time period."
1684270709-20,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8587,https://www.congress.gov/bill/116th-congress/house-bill/8587?s=9&r=481,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill establishes the Congressional Commission to Strengthen Representative Democracy, which must examine and make recommendations relating to changing the membership size of the House of Representatives and the method of electing Representatives."
1684270714-21,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8588,https://www.congress.gov/bill/116th-congress/house-bill/8588?s=9&r=480,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires the Department of Health and Human Services to enter into an agreement with the National Academies of Sciences, Engineering, and Medicine to (1) study the current and historical production of drugs and key ingredients in the United States and in foreign countries, and (2) formulate recommendations for promoting increased production of drugs and key ingredients in the United States."
1684270720-22,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8589,https://www.congress.gov/bill/116th-congress/house-bill/8589?s=9&r=479,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill directs the Department of Transportation (DOT) to establish an Aviation Industry Assistance for Cleaner and Quieter Skies Voucher Program to provide electronic vouchers to air carriers to offset the purchase or cost of a lease of new fuel-efficient aircraft in exchange for commitments from such air carriers to decommission certain currently-used aircraft and sell the aircraft for recycling of parts or disposal.
1684270725-23,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8590,https://www.congress.gov/bill/116th-congress/house-bill/8590?s=9&r=478,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill authorizes the Board of Regents of the Smithsonian Institution and the Board of Trustees of the National Gallery of Art to construct and use a collections storage space at the museum support facility of the Smithsonian Institution in Suitland, Maryland, to accommodate the care, preservation, conservation, storage, and study of national collections held in trust by the Smithsonian Institution and the National Gallery of Art."
1684270731-24,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8591,https://www.congress.gov/bill/116th-congress/house-bill/8591?s=9&r=477,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill addresses the security of active and retired federal judges and their immediate families, including by limiting the release of these protected individuals' personally identifiable information."
1684270736-25,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8592,https://www.congress.gov/bill/116th-congress/house-bill/8592?s=9&r=476,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill requires the Department of Labor to revise the broad description under the occupational series 33-2011 Firefighters of the 2018 Standard Occupational Classification System of the Bureau of Labor Statistics to include the following detailed occupations:
1684270741-26,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8593,https://www.congress.gov/bill/116th-congress/house-bill/8593?s=9&r=475,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270750-27,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8594,https://www.congress.gov/bill/116th-congress/house-bill/8594?s=9&r=474,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270755-28,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8595,https://www.congress.gov/bill/116th-congress/house-bill/8595?s=9&r=473,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270760-29,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8596,https://www.congress.gov/bill/116th-congress/house-bill/8596?s=9&r=472,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires an edge provider of an interactive computer service (e.g., social media website) to adopt and maintain written terms of service binding itself to a contractual duty of good faith in order to qualify for the statutory protection against being treated as the publisher of information distributed through the service by a third party."
1684270765-30,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8597,https://www.congress.gov/bill/116th-congress/house-bill/8597?s=9&r=471,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires states and local governments, in order to receive certain federal funds, to (1) report annually to the National Use-of-Force Data Collection of the Federal Bureau of Investigation on use-of-force events by law enforcement officers resulting in fatalities, serious bodily injuries, and firearm discharges; and (2) maintain a system for sharing disciplinary records of law enforcement officers."
1684270770-31,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8598,https://www.congress.gov/bill/116th-congress/house-bill/8598?s=9&r=470,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill applies a 3% cost-of-living increase to Social Security benefits and Supplemental Security Income payable in calendar year 2021. The bill also disregards this increase for purposes of determining an individual's eligibility for federally funded, means-tested programs."
1684270775-32,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8599,https://www.congress.gov/bill/116th-congress/house-bill/8599?s=9&r=469,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires the United States-Mexico Border Health Commission to (1) report on the border area's response to COVID-19 (i.e., coronavirus disease 2019) in both the United States and Mexico, (2) submit a binational strategic plan with respect to COVID-19, and (3) submit a plan to prepare and respond to future infectious diseases within the border area."
1684270780-33,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8600,https://www.congress.gov/bill/116th-congress/house-bill/8600?s=9&r=468,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill changes the methods used to determine annual increases to Social Security benefits and provides an emergency cost-of-living increase of at least 3% to beneficiaries beginning in November 2020.
1684270785-34,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8601,https://www.congress.gov/bill/116th-congress/house-bill/8601?s=9&r=467,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill requires the Bureau of Economic Analysis of the Department of Commerce to calculate the federal tax burden of each state for each calendar year. It also requires the Office of Management and Budget to calculate the total amount of federal outlays received by each state in each fiscal year.
1684270790-35,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8602,https://www.congress.gov/bill/116th-congress/house-bill/8602?s=9&r=466,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270795-36,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8603,https://www.congress.gov/bill/116th-congress/house-bill/8603?s=9&r=465,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill directs the Securities and Exchange Commission (SEC) to revise venture capital investment regulations. Specifically, the bill allows investments acquired through secondary transactions to be considered as qualifying investments for venture capital funds. However, for a private fund to qualify as a venture capital fund, the investments predominately must be acquired directly. Under current law, non-qualifying investments—which include secondary transactions—may comprise up to 20% of a venture capital fund."
1684270800-37,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8604,https://www.congress.gov/bill/116th-congress/house-bill/8604?s=9&r=464,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires the Department of Health and Human Services to establish within two months a publicly accessible clearinghouse of information about personal protective equipment used to prevent the spread of COVID-19 (i.e., coronavirus disease 2019) or other pathogens that trigger public health emergency declarations."
1684270805-38,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8605,https://www.congress.gov/bill/116th-congress/house-bill/8605?s=9&r=463,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill allows the Department of Health and Human Services to award grants for research institutions or state or local governments to research or establish wastewater surveillance systems or other early-warning systems for detecting infectious diseases.
1684270810-39,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8606,https://www.congress.gov/bill/116th-congress/house-bill/8606?s=9&r=462,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"Specifically, the bill reduces excise tax rates of certain excess accumulations in tax-exempt retirement plans and on failures to take required minimum distributions from such plans. It also allows employers who establish a tax-exempt 403(b) pension plan to participate in a multiple employer plan."
1684270815-40,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8607,https://www.congress.gov/bill/116th-congress/house-bill/8607?s=9&r=461,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill prohibits the U.S. Postal Service from making changes to operations or levels of service from those that were in effect on January 1, 2020, requires states to carry out programs to track federal absentee ballots and voter registration application forms, and requires states to accept the federal write-in absentee ballot from absent uniformed services and overseas voters. It also requires the Department of Defense (DOD) to provide annual training to members of the Armed Forces and civilian employees of DOD related to cyberspace information threats."
1684270820-41,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8608,https://www.congress.gov/bill/116th-congress/house-bill/8608?s=9&r=460,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill makes a pre-dispute arbitration agreement unenforceable with respect to a sexual assault claim.
1684270825-42,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8609,https://www.congress.gov/bill/116th-congress/house-bill/8609?s=9&r=459,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill prohibits the Department of Justice from designating Drug Enforcement Administration officers to perform law enforcement duties that do not relate to drug investigations. It also generally prohibits the U.S. Marshals Service from deputizing other law enforcement officers and the Department of Homeland Security from designating additional employees to protect federal property during a protest unless there is a request by a state, Indian tribe, territory, or the District of Columbia."
1684270830-43,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8610,https://www.congress.gov/bill/116th-congress/house-bill/8610?s=9&r=458,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill withdraws normal trade relations treatment from China and expands the bases of ineligibility for this treatment to include specified violations of human rights by China.
1684270835-44,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8611,https://www.congress.gov/bill/116th-congress/house-bill/8611?s=9&r=457,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270840-45,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8612,https://www.congress.gov/bill/116th-congress/house-bill/8612?s=9&r=456,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill establishes resources and a grant program to address cyberattacks on elementary and secondary schools.
1684270845-46,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8613,https://www.congress.gov/bill/116th-congress/house-bill/8613?s=9&r=455,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill requires the Government Accountability Office to coordinate with the National Academy of Sciences to study alternatives for a nonpartisan congressional office or agency to make science-based projections of the effect of federal legislation on global greenhouse gas emissions.
1684270850-47,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8614,https://www.congress.gov/bill/116th-congress/house-bill/8614?s=9&r=454,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill expands the tax deduction for certain expenses of elementary and secondary school teachers to include home school teachers and home schooling expenses.
1684270855-48,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8615,https://www.congress.gov/bill/116th-congress/house-bill/8615?s=9&r=453,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill provides for coverage of peripheral artery disease screening tests without cost-sharing under Medicare, Medicaid, and private health insurance for certain at-risk individuals, and requires the development of certain educational programs and quality measures to reduce amputations relating to such disease."
1684270860-49,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8616,https://www.congress.gov/bill/116th-congress/house-bill/8616?s=9&r=452,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill eliminates certain National Flood Insurance Program (NFIP) rate subsidies for newly constructed property. Specifically, the chargeable rate for NFIP coverage of newly constructed property and any substantial improvements of property started on or after January 1, 2025, must not be not less than the estimated risk premium rate."
1684270866-50,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8617,https://www.congress.gov/bill/116th-congress/house-bill/8617?s=9&r=451,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill establishes a new nonimmigrant visa category (B-3) for an eligible alien to enter the United States to visit certain relatives.
1684270871-51,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8618,https://www.congress.gov/bill/116th-congress/house-bill/8618?s=9&r=450,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill allows local governments to treat the United States Fish and Wildlife Service (USFWS) of the Department of the Interior as a private landowner for purposes of local property taxation and to treat lands acquired by the USFWS that are within the jurisdiction of a local government as privately-owned lands.
1684270876-52,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8619,https://www.congress.gov/bill/116th-congress/house-bill/8619?s=9&r=449,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill directs the Speaker of the House of Representatives and the President pro tempore of the Senate to arrange for the posthumous presentation of a Congressional Gold Medal in commemoration of Emmett Till and Mamie Till-Mobley.
